Ticker Symbol,SPY,SPY,SPY,SPY,SPY,AAL,AAL,AAL,AAL,AAL,ZM,ZM,ZM,ZM,ZM,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2024-03-14,516.97,517.125,511.82,514.95,110171820.0,13.96,14.03,13.78,13.99,24683836,68.56,68.88,66.87,67.26,1902832.0,615.0,620.8,607.35,613.01,3120452
2024-03-13,517.11,517.29,514.49,515.97,55104088.0,13.92,14.18,13.86,14.0,26375204,69.74,69.95,68.34,68.44,2402910.0,613.37,614.8499,607.21,609.45,2192094
2024-03-12,513.45,517.38,510.86,516.78,73114439.0,14.19,14.38,13.8,13.96,48594880,70.0,70.57,69.3,69.88,3160642.0,600.21,615.3,596.27,611.08,2821631
2024-03-11,510.48,511.88,508.5,511.28,62557183.0,14.6,14.67,14.42,14.65,23617157,67.19,70.26,67.13,69.68,4434020.0,608.08,611.0,600.37,600.93,2500940
2024-03-08,515.46,518.2201,511.13,511.72,86532535.0,14.94,15.1482,14.66,14.68,28464450,67.66,68.2855,67.15,67.16,2983026.0,608.27,616.09,600.84,604.82,2777243
2024-03-07,513.14,515.89,509.8053,514.81,58652085.0,14.85,15.0,14.81,14.9,23657347,66.55,67.46,66.55,67.03,2483481.0,599.34,610.53,595.9,608.51,2742805
2024-03-06,510.55,512.069,508.42,509.75,68382367.0,14.8,14.98,14.62,14.88,31408713,67.19,67.78,66.31,66.42,2925061.0,602.99,607.93,593.5555,597.69,2469592
2024-03-05,510.24,510.7,504.91,507.18,72855623.0,14.75,14.7657,14.29,14.67,43648031,68.73,69.19,66.06,66.49,4874646.0,610.1,610.91,592.0,598.5,3849563
2024-03-04,512.03,514.2,512.0,512.3,49799257.0,15.7,16.15,14.81,14.81,65053048,70.91,70.92,69.49,69.71,5257919.0,621.56,624.42,615.08,615.83,3020306
2024-03-01,508.98,513.29,508.56,512.85,76844844.0,15.695,15.695,15.374,15.66,25751940,70.98,71.2,70.125,70.91,4272703.0,599.81,620.28,599.5,619.34,4270305
2024-02-29,508.07,509.74,505.35,508.08,83924795.0,15.55,15.79,15.45,15.68,33255939,70.0,71.3,69.07,70.73,5830393.0,604.25,604.5161,595.16,602.92,3572082
2024-02-28,505.33,506.855,504.96,506.26,56506634.0,15.36,15.58,15.31,15.46,18194555,67.73,70.61,67.5647,69.62,8100856.0,595.79,598.17,590.01,596.48,2605242
2024-02-27,506.7,507.16,504.75,506.93,48854528.0,15.545,15.669,15.38,15.54,25223365,67.15,69.48,65.06,68.17,18557961.0,595.0,605.36,592.33,601.67,4489355
2024-02-26,508.3,508.75,505.86,505.99,50386738.0,15.13,15.48,15.13,15.28,23675764,63.65,64.32,62.945,63.12,13348816.0,583.56,590.75,583.27,587.65,2393712
2024-02-23,509.27,510.13,507.1,507.85,61321818.0,15.15,15.29,14.95,15.13,22914862,62.5,63.465,62.3,63.4,3518836.0,586.4,592.43,579.82,583.56,2568852
2024-02-22,504.01,508.49,503.02,507.5,76402535.0,14.935,15.28,14.89,15.24,35702480,61.93,62.18,60.94,62.12,3383314.0,582.75,590.85,578.885,588.47,3526597
2024-02-21,495.42,497.37,493.56,497.21,59603771.0,14.59,14.86,14.565,14.79,23032392,60.42,61.42,60.14,61.35,3343778.0,573.51,575.775,567.32,573.35,2281143
2024-02-20,497.72,498.41,494.45,496.76,71736740.0,14.5,14.95,14.49,14.7,30253071,61.7,61.92,60.475,61.32,3742755.0,580.18,586.0,569.66,575.13,3124236
2024-02-16,501.7,502.87,498.75,499.51,75532928.0,14.73,14.89,14.524,14.64,21563210,63.38,63.76,62.08,62.12,4128229.0,596.95,597.0,577.46,583.95,4325689
2024-02-15,499.29,502.2,498.795,502.01,61682960.0,15.02,15.145,14.84,14.9,25314615,64.35,64.73,63.74,64.04,1917676.0,581.91,593.77,580.32,593.46,5220938
2024-02-14,496.79,499.07,494.4,498.57,68387827.0,14.74,14.97,14.68,14.86,28226948,64.34,64.48,63.51,64.14,1810992.0,567.26,581.248,564.34,579.33,5634226
2024-02-13,494.53,497.09,490.715,494.08,113099199.0,14.69,14.87,14.41,14.61,35285669,63.0,64.05,62.81,63.66,3230046.0,550.8,559.1999,549.0,554.52,3511453
2024-02-12,501.17,503.5,500.24,500.98,56502283.0,14.8,15.1,14.775,14.93,27722306,65.72,66.15,64.45,64.48,3077320.0,560.36,568.44,557.0,557.85,3608487
2024-02-09,498.84,501.65,498.49,501.2,63979375.0,15.03,15.18,14.71,14.88,26960668,64.21,66.5,64.01,65.7,4302135.0,565.0,566.0,558.1,561.32,3055698
2024-02-08,498.1,498.71,497.26,498.32,52343636.0,14.98,14.99,14.605,14.95,28024320,63.69,64.07,63.07,63.9,3304672.0,560.55,563.7,555.74,558.53,3175468
2024-02-07,496.29,498.53,495.36,498.1,70556506.0,14.92,15.03,14.7101,14.91,31178208,64.18,64.25,63.06,63.88,2738645.0,558.16,567.8,554.98,559.3,4373591
2024-02-06,493.52,494.32,492.05,493.98,55918602.0,14.24,14.95,14.2,14.9,33592452,63.53,64.14,63.21,63.6,3031192.0,564.12,566.3399,554.37,555.88,2840300
2024-02-05,493.695,494.3778,490.23,492.55,75757102.0,14.36,14.39,14.11,14.26,25289596,63.93,64.02,63.35,63.69,2597121.0,562.47,575.75,557.195,562.06,4143099
2024-02-02,489.65,496.05,489.3,494.35,99228192.0,14.18,14.67,14.135,14.56,33135659,64.28,64.79,63.36,64.27,4006888.0,564.52,567.8,562.37,564.64,4032843
2024-02-01,484.63,489.23,483.8,489.2,91891637.0,14.35,14.3999,13.8727,14.34,39247216,64.78,65.65,64.13,64.85,4066532.0,567.02,572.66,563.83,567.51,3174002
2024-01-31,488.62,489.0813,482.86,482.88,126011062.0,14.49,14.61,14.21,14.23,31538760,66.25,66.38,64.575,64.61,4178222.0,562.85,572.15,562.045,564.11,4857599
2024-01-30,490.56,491.62,490.11,490.89,58618386.0,14.79,14.8793,14.53,14.53,24943066,68.33,68.8,67.14,67.18,2418925.0,567.32,570.88,560.82,562.85,6181798
2024-01-29,487.73,491.415,487.17,491.27,61322751.0,15.37,15.39,14.86,14.94,36835261,67.59,69.1,67.59,68.93,2655856.0,571.35,578.5499,562.68,575.79,6905390
2024-01-26,487.59,489.12,486.54,487.41,76641609.0,15.55,15.84,15.0,15.13,45618620,67.33,68.75,67.22,67.74,2112128.0,561.81,579.64,558.4319,570.42,12770571
2024-01-25,487.575,488.305,485.39,488.03,72524989.0,14.59,15.46,14.52,15.36,96168337,69.5,69.5,67.185,67.42,2670013.0,551.95,563.46,548.46,562.0,9451915
2024-01-24,487.81,488.77,484.8819,485.39,81765039.0,14.16,14.18,13.8501,13.93,42219621,70.42,70.6,68.924,69.04,1944299.0,537.75,562.5,537.07,544.87,26432797
2024-01-23,484.01,485.105,482.89,484.86,49945297.0,14.135,14.4701,13.93,14.0,49961924,69.59,69.9,69.11,69.63,2373126.0,492.0,498.96,481.4,492.19,15506024
2024-01-22,484.01,485.22,482.78,483.45,75844931.0,13.96,14.08,13.54,13.62,38029498,69.53,70.66,69.04,69.59,2494020.0,487.55,489.8,479.9,485.71,5212309
2024-01-19,477.65,482.72,476.5374,482.43,110834483.0,13.83,13.83,13.41,13.66,38805455,67.66,69.04,67.11,69.04,2098899.0,484.98,485.67,476.06,482.95,5672351
2024-01-18,474.01,477.06,472.42,476.49,91856248.0,13.06,13.865,13.01,13.82,58528153,67.52,67.98,66.45,67.32,2611230.0,480.03,485.77,478.02,485.31,4054399
2024-01-17,471.82,472.79,469.87,472.29,68843871.0,12.96,13.21,12.87,12.93,36991544,68.14,68.17,66.405,67.95,2357343.0,484.5,486.21,475.2642,480.33,4894593
2024-01-16,475.26,476.6098,473.06,474.93,85014870.0,13.08,13.2,12.78,13.19,55891511,69.9,70.41,68.16,69.1,3503249.0,490.0,494.15,478.02,481.24,4678974
